Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Salud Y Protección Social;Montebello,Antioquia;202500000009989;Adecuación E Obras Menores De La Infraestructura Del Puesto De Salud Gavilán Del Municipio De Montebello  Antioquia;En Ejecución;2025 - 2025;137158324,00;1
Territorio;Gobierno Territorial;Apartadó,Antioquia;202500000009981;Implementación  Y Ejecución De Campañas Para La Promoción De La Gestión Tributaria En El Municipio De   Apartadó;En Ejecución;2025 - 2025;200000000,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000009963;Implementación De Las Acciones Contenidas En El Pmgrd Para Los Eventos Priorizados En El Municipio De  Murindó;En Ejecución;2025 - 2025;308962277,22;1
Territorio;Vivienda, Ciudad Y Territorio;Barbosa,Antioquia;202500000009958;Adecuación ,Ampliación, Optimización Y Asistencias Técnicas En Sistemas De Acueducto Y Abastecimiento En El Municipio De  Barbosa;En Ejecución;2025 - 2028;12540134934,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000009933;Implementación De Los Sistemas De Gestión De Calidad Y Desarrollo Administrativo De La Administración Municipal En El Municipio De  Murindó;En Ejecución;2025 - 2025;840739058,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000009914;Servicio  De Promoción De La Garantía De Derechos De  Inclusión Y Equidad De Género (Mujer Y Lgtbi) En El Muncipio De   Murindó;En Ejecución;2025 - 2025;15000000,00;1
Territorio;Transporte;La Estrella,Antioquia;202500000009907;Pavimentación De La Carrera 52, Vía Paralela A La Ciclo Ruta Entre Las Calles 77 Sur Y La Fonda El Ciclista En La Carrera 50 Autopista Sur, En El Municipio De  La Estrella;En Ejecución;2025 - 2025;6067199395,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000009904;Fortalecimiento Del Programa De Participación Comunitaria En El Municipio De  Murindó;En Ejecución;2025 - 2025;90000000,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000009900;Implementación  Del Plan De Seguridad Y Convivencia En El Municipio De   Murindó;En Ejecución;2025 - 2025;122300000,00;1
Territorio;Deporte Y Recreación;Murindó,Antioquia;202500000009896;Fortalecimiento  Del Programa Fomento De La Practica Del Deporte Y La Recreación En El Municipio De  Murindó;En Ejecución;2025 - 2025;245750000,00;1
